id,nombre,partidos_jugados,partidos_titular,goles,asistencias,tarjeta_amarilla,edad,altura,valor,rating,posicion
10299,A. Oroz,28,16,2,0,1,36,180.0444140361109,733.33,39,Mediocentro
10300,Antunez,32,26,0,0,3,0,181.82014993130403,1000.0,35,Mediocentro
10301,M. Nieto,14,11,1,0,0,21,180.78505431940923,8070.0,36,MP
10302,Gabriel Martín,20,13,1,0,4,20,180.833656796722,1110.0,36,Portero
10303,L. Collado,6,0,0,0,0,0,181.82014993130403,1000.0,25,Portero
10307,D. Carballo,28,24,2,0,6,30,165.0,8580.0,43,Delantero Centro
10308,Jaime Corchado,31,15,3,0,5,26,190.0,8750.0,41,Extremo Izquierdo
10309,L. Prieto,33,21,4,0,3,20,180.83449377509507,9170.0,39,Delantero Centro
10310,R. Vizcaino,13,4,1,0,0,24,180.63648984332633,2400.0,35,Delantero Centro
10311,Joaquín,25,25,30,0,1,21,187.0,4760.0,39,Portero
10312,Jordi Pérez,9,9,8,0,0,24,190.0,4450.0,38,Portero
10315,A. Chavero,28,27,0,0,10,22,180.7353282557445,4210.0,40,Defensa Central
10316,L. Diaz,24,19,1,0,9,28,180.4392979674977,3450.0,41,Defensa Central
10317,Satur Muñoz,27,20,0,0,10,21,180.78478848012446,5510.0,41,Lateral Derecho
10318,Asier Franco,22,21,1,0,5,20,180.83359592367955,523.8,37,Mediocentro
10319,Miguel García,12,3,0,0,2,22,180.73499491820385,1000.0,25,Lateral Izquierdo
10320,I. Muriel,3,0,0,0,0,0,181.82014993130403,1000.0,25,Portero
10321,Jose Luis,33,33,3,0,10,29,180.39077337278786,11160.0,46,Mediocentro
10322,Aarón,33,32,2,0,6,39,189.0,1000.0,47,MI
10323,Alberto,27,23,4,0,9,25,180.5875498747341,6110.0,40,MD
10324,Angel Luis,18,15,5,0,8,27,180.48900637777243,7140.0,43,Mediocentro
10325,D. Diaz,24,23,0,0,2,22,180.73496936959478,753.97,39,Lateral Derecho
10326,Adri Castillo,21,17,0,0,10,21,178.0,2110.0,34,Mediocentro
10327,Alberto,19,6,0,0,1,23,180.68599160509456,4100.0,37,Mediocentro
10328,Jesús García,25,8,0,0,0,20,180.83370041097967,1530.0,36,Portero
10329,R. Cuevas,8,6,0,0,3,0,181.82014993130403,1000.0,25,Portero
10330,G. Polo,15,5,0,0,0,0,181.82014993130403,1000.0,25,Portero
10333,Chori,21,17,3,0,3,29,180.39104440424614,13770.0,44,Extremo Izquierdo
10334,Abel Sánchez,28,27,7,0,6,20,180.83366925793848,1230.0,38,Delantero Centro
10335,M. Kolie,16,7,0,0,2,24,180.0,5060.0,41,Delantero Centro
10336,D. Andrada,30,22,3,0,5,21,192.0,3370.0,37,Delantero Centro
10337,José Andrés,20,20,25,0,3,19,188.0,104130.0,41,Portero
10338,Fuentes,3,2,2,0,2,41,191.0,1000.0,39,Portero
10340,M. Torvisco,32,31,1,0,6,0,181.82034619546346,2890.0,42,Portero
10341,M. Prevedini,23,20,2,0,4,21,187.0,1040.0,39,Defensa Central
10342,F. Garcia,23,20,0,0,6,0,181.82018419964933,1330.0,37,Lateral Izquierdo
10343,Álvaro Nevado,26,24,1,0,6,30,180.3404346326466,1400.0,39,Defensa Central
10344,I. Terriza,15,5,0,0,0,20,180.83364537394024,1000.0,27,Lateral Izquierdo
10345,A. Leo,14,7,0,0,1,20,180.83364537394024,1000.0,31,Defensa Central
10346,D. De La Montaña,11,2,1,0,0,0,181.82014993130403,1000.0,27,Portero
10347,Pelu,26,20,1,0,5,29,180.3901596578766,5250.0,42,MP
10348,M. De Luis,34,33,2,0,3,21,176.0,7820.0,37,Delantero Centro
10349,Aitor,27,18,0,0,6,0,181.82027662033815,2220.0,41,Lateral Derecho
10350,A. Barrero,14,10,1,0,5,0,181.8202849278158,2300.0,40,Mediocentro
10351,C. Navarro,24,20,0,0,4,0,181.82020808364757,1560.0,35,Lateral Izquierdo
10352,E. Casco,6,0,0,0,1,0,181.82020392990873,1520.0,39,Mediocentro
10353,C. Oliva,8,3,0,0,0,22,180.73523687349038,3330.0,38,Mediocentro
10354,S. Montero,6,4,0,0,0,0,181.82014993130403,1000.0,34,MI
10355,P. Vivas,6,2,1,0,0,0,181.82010839391577,600.0,32,Mediocentro
10356,R. Cabrera,5,0,0,0,0,0,181.82014993130403,1000.0,33,Portero
10357,R. Castilla,14,13,1,0,5,0,181.82014993130403,1000.0,26,Mediocentro
